iterationsPerColony: 8
cost, colony, totalAnts, alpha, beta, rho, Q, scheme, runTime
383.0,111,88,10.25,12.82,0.5,3,0,0.652
388.0,112,88,10.25,12.82,0.5,3,1,0.62
388.0,113,88,10.25,12.82,0.5,3,2,0.624
388.0,114,88,10.25,12.82,0.75,1,0,0.612
388.0,115,88,10.25,12.82,0.75,1,1,0.595
388.0,116,88,10.25,12.82,0.75,1,2,0.621
383.0,117,88,10.25,12.82,0.75,3,0,0.709
388.0,118,88,10.25,12.82,0.75,3,1,0.615
388.0,119,88,10.25,12.82,0.75,3,2,0.616
388.0,120,88,11.08,5.6,0.5,1,0,0.599
383.0,121,88,11.08,5.6,0.5,1,1,0.649
391.0,122,88,11.08,5.6,0.5,1,2,0.632
388.0,123,88,11.08,5.6,0.5,3,0,0.595
383.0,124,88,11.08,5.6,0.5,3,1,0.617
408.0,125,88,11.08,5.6,0.5,3,2,0.596
385.0,126,88,11.08,5.6,0.75,1,0,0.629
383.0,127,88,11.08,5.6,0.75,1,1,0.652
388.0,128,88,11.08,5.6,0.75,1,2,0.609
383.0,129,88,11.08,5.6,0.75,3,0,0.643
383.0,130,88,11.08,5.6,0.75,3,1,0.622
418.0,131,88,11.08,5.6,0.75,3,2,0.595
383.0,132,88,11.08,12.82,0.5,1,0,0.604
388.0,133,88,11.08,12.82,0.5,1,1,0.589
402.0,134,88,11.08,12.82,0.5,1,2,0.612
385.0,135,88,11.08,12.82,0.5,3,0,0.59
388.0,136,88,11.08,12.82,0.5,3,1,0.623
410.0,137,88,11.08,12.82,0.5,3,2,0.621
383.0,138,88,11.08,12.82,0.75,1,0,0.621
383.0,139,88,11.08,12.82,0.75,1,1,0.615
391.0,140,88,11.08,12.82,0.75,1,2,0.592
388.0,141,88,11.08,12.82,0.75,3,0,0.596
383.0,142,88,11.08,12.82,0.75,3,1,0.623
388.0,143,88,11.08,12.82,0.75,3,2,0.638
