iterationsPerColony: 8
cost, colony, totalAnts, alpha, beta, rho, Q, scheme, runTime
482.0,101,74,1.06,2.51,0.32,2,2,1.142
499.0,102,74,1.06,2.51,0.62,2,0,1.158
458.0,103,74,1.06,2.51,0.62,2,1,1.134
469.0,104,74,1.06,2.51,0.62,2,2,1.129
473.0,105,74,1.06,2.51,0.62,2,0,1.164
440.0,106,74,1.06,2.51,0.62,2,1,1.127
432.0,107,74,1.06,2.51,0.62,2,2,1.126
425.0,108,74,1.06,9.43,0.32,2,0,1.11
413.0,109,74,1.06,9.43,0.32,2,1,1.135
426.0,110,74,1.06,9.43,0.32,2,2,1.124
421.0,111,74,1.06,9.43,0.32,2,0,1.214
422.0,112,74,1.06,9.43,0.32,2,1,1.177
423.0,113,74,1.06,9.43,0.32,2,2,1.277
415.0,114,74,1.06,9.43,0.62,2,0,1.218
423.0,115,74,1.06,9.43,0.62,2,1,1.143
423.0,116,74,1.06,9.43,0.62,2,2,1.148
422.0,117,74,1.06,9.43,0.62,2,0,1.13
419.0,118,74,1.06,9.43,0.62,2,1,1.35
423.0,119,74,1.06,9.43,0.62,2,2,1.321
503.0,120,74,3.98,2.51,0.32,2,0,1.17
463.0,121,74,3.98,2.51,0.32,2,1,1.4
436.0,122,74,3.98,2.51,0.32,2,2,1.168
463.0,123,74,3.98,2.51,0.32,2,0,1.111
444.0,124,74,3.98,2.51,0.32,2,1,1.117
525.0,125,74,3.98,2.51,0.32,2,2,1.112
469.0,126,74,3.98,2.51,0.62,2,0,1.121
464.0,127,74,3.98,2.51,0.62,2,1,1.128
472.0,128,74,3.98,2.51,0.62,2,2,1.195
499.0,129,74,3.98,2.51,0.62,2,0,1.172
471.0,130,74,3.98,2.51,0.62,2,1,1.148
512.0,131,74,3.98,2.51,0.62,2,2,1.137
421.0,132,74,3.98,9.43,0.32,2,0,1.141
422.0,133,74,3.98,9.43,0.32,2,1,1.139
427.0,134,74,3.98,9.43,0.32,2,2,1.137
410.0,135,74,3.98,9.43,0.32,2,0,1.141
423.0,136,74,3.98,9.43,0.32,2,1,1.28
423.0,137,74,3.98,9.43,0.32,2,2,1.198
408.0,138,74,3.98,9.43,0.62,2,0,1.162
415.0,139,74,3.98,9.43,0.62,2,1,1.359
424.0,140,74,3.98,9.43,0.62,2,2,1.264
421.0,141,74,3.98,9.43,0.62,2,0,1.428
415.0,142,74,3.98,9.43,0.62,2,1,1.304
451.0,143,74,3.98,9.43,0.62,2,2,1.214
