iterationsPerColony: 8
cost, colony, totalAnts, alpha, beta, rho, Q, scheme, runTime
587.0,42,22,12.4,4.84,0.85,2,0,0.873
556.0,43,22,12.4,4.84,0.85,2,1,0.892
560.0,44,22,12.4,4.84,0.85,2,2,0.829
575.0,45,22,12.4,4.84,0.85,3,0,0.904
593.0,46,22,12.4,4.84,0.85,3,1,0.882
609.0,47,22,12.4,4.84,0.85,3,2,0.929
781.0,48,52,7.56,1.85,0.6,2,0,1.894
795.0,49,52,7.56,1.85,0.6,2,1,1.902
840.0,50,52,7.56,1.85,0.6,2,2,1.924
758.0,51,52,7.56,1.85,0.6,3,0,1.902
811.0,52,52,7.56,1.85,0.6,3,1,1.962
854.0,53,52,7.56,1.85,0.6,3,2,1.898
770.0,54,52,7.56,1.85,0.85,2,0,1.918
756.0,55,52,7.56,1.85,0.85,2,1,1.915
869.0,56,52,7.56,1.85,0.85,2,2,1.896
796.0,57,52,7.56,1.85,0.85,3,0,1.89
792.0,58,52,7.56,1.85,0.85,3,1,1.961
863.0,59,52,7.56,1.85,0.85,3,2,1.898
545.0,60,52,7.56,4.84,0.6,2,0,1.899
547.0,61,52,7.56,4.84,0.6,2,1,1.963
630.0,62,52,7.56,4.84,0.6,2,2,1.936
582.0,63,52,7.56,4.84,0.6,3,0,1.943
560.0,64,52,7.56,4.84,0.6,3,1,1.898
597.0,65,52,7.56,4.84,0.6,3,2,1.91
555.0,66,52,7.56,4.84,0.85,2,0,1.876
557.0,67,52,7.56,4.84,0.85,2,1,1.907
600.0,68,52,7.56,4.84,0.85,2,2,1.951
536.0,69,52,7.56,4.84,0.85,3,0,1.883
561.0,70,52,7.56,4.84,0.85,3,1,2.029
595.0,71,52,7.56,4.84,0.85,3,2,1.913
752.0,72,52,12.4,1.85,0.6,2,0,1.891
731.0,73,52,12.4,1.85,0.6,2,1,1.961
847.0,74,52,12.4,1.85,0.6,2,2,1.915
781.0,75,52,12.4,1.85,0.6,3,0,1.891
770.0,76,52,12.4,1.85,0.6,3,1,1.903
858.0,77,52,12.4,1.85,0.6,3,2,1.891
794.0,78,52,12.4,1.85,0.85,2,0,1.971
778.0,79,52,12.4,1.85,0.85,2,1,1.927
811.0,80,52,12.4,1.85,0.85,2,2,1.923
751.0,81,52,12.4,1.85,0.85,3,0,1.902
772.0,82,52,12.4,1.85,0.85,3,1,3.441
841.0,83,52,12.4,1.85,0.85,3,2,2.781
569.0,84,52,12.4,4.84,0.6,2,0,2.578
546.0,85,52,12.4,4.84,0.6,2,1,2.655
582.0,86,52,12.4,4.84,0.6,2,2,2.198
565.0,87,52,12.4,4.84,0.6,3,0,2.591
533.0,88,52,12.4,4.84,0.6,3,1,1.95
625.0,89,52,12.4,4.84,0.6,3,2,1.981
554.0,90,52,12.4,4.84,0.85,2,0,1.926
567.0,91,52,12.4,4.84,0.85,2,1,1.976
597.0,92,52,12.4,4.84,0.85,2,2,1.934
554.0,93,52,12.4,4.84,0.85,3,0,1.956
565.0,94,52,12.4,4.84,0.85,3,1,1.916
520.0,95,52,12.4,4.84,0.85,3,2,2.001
674.0,96,74,7.56,1.85,0.6,2,0,2.995
790.0,97,74,7.56,1.85,0.6,2,1,2.789
889.0,98,74,7.56,1.85,0.6,2,2,2.804
791.0,99,74,7.56,1.85,0.6,3,0,2.919
802.0,100,74,7.56,1.85,0.6,3,1,2.781
844.0,101,74,7.56,1.85,0.6,3,2,2.724
754.0,102,74,7.56,1.85,0.85,2,0,2.716
764.0,103,74,7.56,1.85,0.85,2,1,2.849
807.0,104,74,7.56,1.85,0.85,2,2,2.789
759.0,105,74,7.56,1.85,0.85,3,0,2.627
757.0,106,74,7.56,1.85,0.85,3,1,2.66
745.0,107,74,7.56,1.85,0.85,3,2,2.748
564.0,108,74,7.56,4.84,0.6,2,0,2.616
573.0,109,74,7.56,4.84,0.6,2,1,2.662
580.0,110,74,7.56,4.84,0.6,2,2,2.641
568.0,111,74,7.56,4.84,0.6,3,0,2.716
551.0,112,74,7.56,4.84,0.6,3,1,3.128
547.0,113,74,7.56,4.84,0.6,3,2,4.086
546.0,114,74,7.56,4.84,0.85,2,0,3.473
548.0,115,74,7.56,4.84,0.85,2,1,2.753
591.0,116,74,7.56,4.84,0.85,2,2,2.659
576.0,117,74,7.56,4.84,0.85,3,0,2.698
551.0,118,74,7.56,4.84,0.85,3,1,2.672
562.0,119,74,7.56,4.84,0.85,3,2,2.688
802.0,120,74,12.4,1.85,0.6,2,0,2.659
778.0,121,74,12.4,1.85,0.6,2,1,2.74
803.0,122,74,12.4,1.85,0.6,2,2,2.663
801.0,123,74,12.4,1.85,0.6,3,0,2.707
741.0,124,74,12.4,1.85,0.6,3,1,2.729
751.0,125,74,12.4,1.85,0.6,3,2,2.697
746.0,126,74,12.4,1.85,0.85,2,0,2.675
786.0,127,74,12.4,1.85,0.85,2,1,2.697
820.0,128,74,12.4,1.85,0.85,2,2,2.727
798.0,129,74,12.4,1.85,0.85,3,0,2.666
755.0,130,74,12.4,1.85,0.85,3,1,2.679
804.0,131,74,12.4,1.85,0.85,3,2,2.644
565.0,132,74,12.4,4.84,0.6,2,0,2.714
554.0,133,74,12.4,4.84,0.6,2,1,2.704
640.0,134,74,12.4,4.84,0.6,2,2,2.653
539.0,135,74,12.4,4.84,0.6,3,0,2.666
567.0,136,74,12.4,4.84,0.6,3,1,2.784
591.0,137,74,12.4,4.84,0.6,3,2,2.671
558.0,138,74,12.4,4.84,0.85,2,0,2.672
538.0,139,74,12.4,4.84,0.85,2,1,2.731
578.0,140,74,12.4,4.84,0.85,2,2,2.7
562.0,141,74,12.4,4.84,0.85,3,0,2.759
554.0,142,74,12.4,4.84,0.85,3,1,2.712
581.0,143,74,12.4,4.84,0.85,3,2,2.709
